x,y,Name,Team,Age
11.17111857953212,-0.5536597502563585,TONY MARTENSSON,Mighty Ducks of Anaheim,23.0
5.35311242773964,-6.2412751996328355,NILS EKMAN,Tampa Bay Lightning,23.0
1.316485269183571,-4.0449780864820974,NILS EKMAN,Tampa Bay Lightning,24.0
-6.665492442622775,-3.1935448123622,NILS EKMAN,San Jose Sharks,27.0
-3.3898300216738044,5.982551941707325,NILS EKMAN,San Jose Sharks,29.0
-7.797466851232193,3.1936994112674624,NILS EKMAN,Pittsburgh Penguins,30.0
3.138184337476725,8.086722167621845,JOHAN GARPENLOV,Atlanta Thrashers,31.0
-10.710389909971964,-3.1768768070853217,MATHIAS TJARNQVIST,Dallas Stars,24.0
-5.97087059435394,5.92378619195356,MATHIAS TJARNQVIST,Dallas Stars,26.0
-10.105248544109878,-3.4176468355930347,MATHIAS TJARNQVIST,Dallas Stars,27.0
7.025375672562688,-5.373978200479558,MATHIAS TJARNQVIST,Phoenix Coyotes,27.0
6.847150508013905,4.168380753840504,MATHIAS TJARNQVIST,Phoenix Coyotes,28.0
0.3726771981564245,-6.545586841532048,MATHIAS JOHANSSON,Calgary Flames,28.0
1.854026447517256,-1.8814256708830372,MATHIAS JOHANSSON,Pittsburgh Penguins,28.0
-3.710521539882725,-2.0548822714420787,JORGEN JONSSON,New York Islanders,27.0
3.176017967141803,-9.911491246985651,JORGEN JONSSON,Mighty Ducks of Anaheim,27.0
6.057380668067576,7.748604025597573,RICKARD WALLIN,Minnesota Wild,22.0
0.6881679341164181,9.948710227008805,RICKARD WALLIN,Minnesota Wild,23.0
-2.8478342072617897,-8.570519025871238,RICKARD WALLIN,Toronto Maple Leafs,29.0
-9.298598065598517,6.435214464909163,JOHAN DAVIDSSON,Mighty Ducks of Anaheim,23.0
5.317709196894274,9.806873946073354,JOHAN DAVIDSSON,New York Islanders,23.0
8.433337673814616,-6.162520065676749,BJORN MELIN,Anaheim Ducks,25.0
9.602455502777902,2.7514490766291053,JOHAN FRANZEN,Detroit Red Wings,26.0
-3.4579189862132527,-1.493952950914393,JOHAN FRANZEN,Detroit Red Wings,27.0
2.453117411374643,7.214244002480802,JOHAN FRANZEN,Detroit Red Wings,28.0
-4.66671664702553,0.38029823800501084,JOHAN FRANZEN,Detroit Red Wings,29.0
6.312074479159307,-4.063098650509214,JOHAN FRANZEN,Detroit Red Wings,30.0
-1.2700080626837429,5.950224541913579,JOHAN FRANZEN,Detroit Red Wings,31.0
-1.9906212805856576,6.401234938522294,JOHAN FRANZEN,Detroit Red Wings,32.0
-0.0069989611360210015,-1.8844010095323784,JOHAN FRANZEN,Detroit Red Wings,33.0
-5.535489264404971,2.420208111010218,JOHAN FRANZEN,Detroit Red Wings,34.0
-0.9074232471438674,0.27237067084987454,JOHAN FRANZEN,Detroit Red Wings,35.0
6.076602854699221,-9.132627068396756,JOHAN FRANZEN,Detroit Red Wings,36.0
4.551415867831334,3.0071123092076566,JONATHAN HEDSTROM,Mighty Ducks of Anaheim,28.0
0.6299345607207448,10.787805352680394,FRANS NIELSEN,New York Islanders,22.0
-3.4387698734433396,9.364463672694072,FRANS NIELSEN,New York Islanders,23.0
-4.810959383466572,4.384240979409487,FRANS NIELSEN,New York Islanders,24.0
2.881200126410266,3.284561822614296,FRANS NIELSEN,New York Islanders,25.0
-3.630199393938539,0.38194699192888,FRANS NIELSEN,New York Islanders,26.0
2.915756481681463,-1.5676658150953497,FRANS NIELSEN,New York Islanders,27.0
-2.067692347507327,2.331516099522495,FRANS NIELSEN,New York Islanders,28.0
-7.140144183896119,0.7606895126227472,FRANS NIELSEN,New York Islanders,29.0
4.192175064915333,0.14260834363880948,FRANS NIELSEN,New York Islanders,30.0
0.4036699659480723,4.267934536380214,FRANS NIELSEN,New York Islanders,31.0
10.116472395058032,-5.124086937928508,JOAKIM LINDSTROM,Columbus Blue Jackets,23.0
7.454044588139744,-3.256501187948335,JOAKIM LINDSTROM,Columbus Blue Jackets,24.0
-0.02404188924435828,2.364531395951367,JOAKIM LINDSTROM,Phoenix Coyotes,25.0
-3.1481817089923445,8.963075511741692,JOAKIM LINDSTROM,Colorado Avalanche,28.0
-8.785809620567623,4.205672576949468,JOAKIM LINDSTROM,St. Louis Blues,31.0
-8.455067929559267,-5.181903370021069,JOAKIM LINDSTROM,Toronto Maple Leafs,31.0
-1.4442748850011897,3.8004576632158167,MATTIAS WEINHANDL,New York Islanders,22.0
-6.204715444429163,-0.9905078635047452,MATTIAS WEINHANDL,New York Islanders,23.0
-7.0653137621675475,-6.876102702915241,MATTIAS WEINHANDL,New York Islanders,25.0
0.6272166807618775,10.3131465901287,MATTIAS WEINHANDL,Minnesota Wild,25.0
-7.3523093976131815,6.060559092008085,MATTIAS WEINHANDL,Minnesota Wild,26.0
-8.705008439288736,4.116931375018365,JUHA LIND,Dallas Stars,25.0
-5.738847555772825,8.561524404294785,JUHA LIND,Montreal Canadiens,25.0
-4.605463933238678,-6.672043943076703,JUHA LIND,Montreal Canadiens,26.0
1.7792844775766745,-7.748842084910374,NIKLAS NORDGREN,Carolina Hurricanes,26.0
4.472361869238282,0.16841832272676047,HENRIK ZETTERBERG,Detroit Red Wings,22.0
-5.2255754724009265,4.735626529571708,HENRIK ZETTERBERG,Detroit Red Wings,23.0
-9.80343046448108,-1.2192862094963117,HENRIK ZETTERBERG,Detroit Red Wings,25.0
-6.632922352217433,1.6308725666048192,HENRIK ZETTERBERG,Detroit Red Wings,26.0
-9.489734017182325,-1.5857021932021096,HENRIK ZETTERBERG,Detroit Red Wings,27.0
-1.3713616078671707,-4.992479158147105,HENRIK ZETTERBERG,Detroit Red Wings,28.0
-2.4756137585016607,-5.0999951884391335,HENRIK ZETTERBERG,Detroit Red Wings,29.0
7.668283523786521,1.802540520956618,HENRIK ZETTERBERG,Detroit Red Wings,30.0
-10.384643039891202,0.2761411468102115,HENRIK ZETTERBERG,Detroit Red Wings,31.0
-7.9478137874137404,-0.08860978200571193,HENRIK ZETTERBERG,Detroit Red Wings,32.0
-7.907102818181574,-0.172047860741946,HENRIK ZETTERBERG,Detroit Red Wings,33.0
-9.487514324034281,-1.0239713452329744,HENRIK ZETTERBERG,Detroit Red Wings,34.0
-0.7442268833475223,5.5372893283034665,HENRIK ZETTERBERG,Detroit Red Wings,35.0
-0.7159077292564549,-7.914873103043055,NIKLAS ANDERSSON,New York Islanders,28.0
3.944763262830433,-7.451700261799463,NIKLAS ANDERSSON,Nashville Predators,28.0
3.366313473775614,-10.376826861436971,NIKLAS ANDERSSON,Calgary Flames,29.0
-9.495536735003858,2.574726245501007,MIKAEL ANDERSSON,Philadelphia Flyers,33.0
-8.557507855802777,-5.2504480383358425,MIKAEL ANDERSSON,New York Islanders,33.0
-9.420175723250164,2.6021893138515946,JOEL LUNDQVIST,Dallas Stars,24.0
-7.440706727046472,-2.3001961745007495,JOEL LUNDQVIST,Dallas Stars,25.0
1.829688759811743,-7.349244607223538,JOEL LUNDQVIST,Dallas Stars,26.0
-5.919743879306999,-0.9044135400093377,ROBERT NILSSON,New York Islanders,20.0
6.057822075242973,7.748425204541732,ROBERT NILSSON,Edmonton Oilers,21.0
-3.542433879478942,0.47237071478616544,ROBERT NILSSON,Edmonton Oilers,22.0
-3.176139339658238,-2.8854343199661736,ROBERT NILSSON,Edmonton Oilers,23.0
-2.46357642088939,-1.3161514707236601,ROBERT NILSSON,Edmonton Oilers,24.0
8.431669822415289,-6.1647050404994905,JONAS NORDQVIST,Chicago Blackhawks,24.0
1.5375724132386759,3.9097467629180764,ALEXANDER STEEN,Toronto Maple Leafs,21.0
6.120582697902919,-1.269354588176497,ALEXANDER STEEN,Toronto Maple Leafs,22.0
2.2983860106841245,3.3802937257182144,ALEXANDER STEEN,Toronto Maple Leafs,23.0
8.539492159549797,6.739283020653467,ALEXANDER STEEN,Toronto Maple Leafs,24.0
-2.084765607844733,-2.1874427546579644,ALEXANDER STEEN,St. Louis Blues,24.0
-4.534751884059149,-1.1609188280340668,ALEXANDER STEEN,St. Louis Blues,25.0
-3.7421145538343987,0.43013609110363055,ALEXANDER STEEN,St. Louis Blues,26.0
-0.3861445345338723,1.7208341814636163,ALEXANDER STEEN,St. Louis Blues,27.0
-0.027575925292215746,-2.0093352727590448,ALEXANDER STEEN,St. Louis Blues,28.0
-6.194487716802875,1.1279575751101634,ALEXANDER STEEN,St. Louis Blues,29.0
-3.448472226555125,3.5277521296993526,ALEXANDER STEEN,St. Louis Blues,30.0
-5.56049180469681,4.453433667005603,ALEXANDER STEEN,St. Louis Blues,31.0
-0.9535388667725655,8.517856605192287,MARTIN SAMUELSSON,Boston Bruins,20.0
-2.403035849060661,-5.076656231951447,MATS SUNDIN,Toronto Maple Leafs,28.0
-10.47159801133386,0.2103571962103072,MATS SUNDIN,Toronto Maple Leafs,29.0
-10.713040396117332,-0.07367776663998463,MATS SUNDIN,Toronto Maple Leafs,30.0
-1.936298774542031,-5.137779152823875,MATS SUNDIN,Toronto Maple Leafs,31.0
-9.805766807453583,0.24923757563363175,MATS SUNDIN,Toronto Maple Leafs,32.0
-3.0062353540938846,-5.068954985173782,MATS SUNDIN,Toronto Maple Leafs,34.0
-9.327266032371325,-1.3494929213310898,MATS SUNDIN,Toronto Maple Leafs,35.0
-2.761032543427373,-5.082142628651611,MATS SUNDIN,Toronto Maple Leafs,36.0
-0.0559486205138861,-1.6375283120714967,MATS SUNDIN,Vancouver Canucks,37.0
-6.31199388627465,-3.091250715713901,JONAS HOGLUND,Toronto Maple Leafs,27.0
